;Relatório de Composições;;;;
;Tabela 027 - ENC. SOCIAIS 112,76%;;;;
C1802 - BOMBA CENTRÍFUGA DE 1/4 CV, INCLUSIVE MAT.DE SUCÇÃO - UN;;;;;
MAO DE OBRA;;Unidade;Coeficiente;Preço;Total
I0043;AJUDANTE DE ENCANADOR;H;8,0000;18,6300;149,0400
I2320;ENCANADOR;H;8,0000;22,7200;181,7600
;;;;Total:;330,8000
MATERIAIS;;;;;
I0852;BOMBA CENTRIFUGA P=1/4CV;UN;1,0000;358,8400;358,8400
;;;;Total:;358,8400
;;;Total Simples:;;689,64
;;;Encargos Sociais:;;INCLUSO
;;;Valor BDI:;;0,00
;;;Valor Geral:;;689,64
C1803 - MURETA C/TIJOLO MACIÇO, REBOCADA, INCL. FUNDAÇÕES - M2;;;;;
MAO DE OBRA;;Unidade;Coeficiente;Preço;Total
I2391;PEDREIRO;H;3,8600;23,1700;89,4362
I2543;SERVENTE;H;6,3200;17,1400;108,3248
;;;;Total:;197,7610
MATERIAIS;;;;;
I0109;AREIA MEDIA;M3;0,1685;67,5000;11,3738
I0441;CAL HIDRATADA;KG;17,9080;1,1000;19,6988
I0805;CIMENTO PORTLAND;KG;31,0480;0,5600;17,3869
I1600;PEDRA DE MÃO (RACHÃO);M3;0,1380;66,0600;9,1163
I2082;TIJOLO MACIÇO COMUM;UN;174,9000;0,5800;101,4420
;;;;Total:;159,0178
;;;Total Simples:;;356,78
;;;Encargos Sociais:;;INCLUSO
;;;Valor BDI:;;0,00
;;;Valor Geral:;;356,78
C1804 - MURO DIVISÓRIO C/BLOCOS DE CONCRETO 14x19x39 CM, H=1.80M, SOBRE SAPATA CORRIDA DE CONCRETO FCK = 13,5 MPa E PILARES DE CONCRETO - M;;;;;
MAO DE OBRA;;Unidade;Coeficiente;Preço;Total
I0040;AJUDANTE DE ARMADOR/FERREIRO;H;0,4200;18,6300;7,8246
I0121;ARMADOR/FERREIRO;H;0,4200;23,1700;9,7314
I2391;PEDREIRO;H;1,3700;23,1700;31,7429
I2543;SERVENTE;H;2,4000;17,1400;41,1360
;;;;Total:;90,4349
MATERIAIS;;;;;
I0103;ARAME RECOZIDO N.18 BWG;KG;0,1100;10,0500;1,1055
I0109;AREIA MEDIA;M3;0,0880;67,5000;5,9400
I0163;AÇO CA-50;KG;6,0000;9,5000;57,0000
I0231;BLOCO DE CONCRETO 14x19x39cm - VEDAÇÃO;UN;24,0000;2,5300;60,7200
I0280;BRITA;M3;0,0380;76,1900;2,8952
I0441;CAL HIDRATADA;KG;4,0000;1,1000;4,4000
I0805;CIMENTO PORTLAND;KG;36,0000;0,5600;20,1600
I1605;PEDRISCO;M3;0,0163;73,9000;1,2046
I1916;"TABUA DE 1"" DE 3A. - L = 30cm";M;1,3400;10,0100;13,4134
;;;;Total:;166,8387
;;;Total Simples:;;257,27
;;;Encargos Sociais:;;INCLUSO
;;;Valor BDI:;;0,00
;;;Valor Geral:;;257,27
C1805 - MURO DIVISÓRIO C/ BLOCOS DE CONCRETO 14x19x39 CM, H=1,80 M, SOBRE SAPATA CORRIDA, C/ PILARETES E CINTA DE AMARRAÇÃO DE CONCRETO C/ PINGADEIRAS - M;;;;;
EQUIPAMENTOS (CHORARIO);;Unidade;Coeficiente;Preço;Total
I0682;BETONEIRA ELÉTRICA 580L (CHP);H;0,0498;24,4208;1,2162
;;;;Total:;1,2162
MAO DE OBRA;;;;;
I0041;AJUDANTE DE CARPINTEIRO;H;1,0400;18,6300;19,3752
I0121;ARMADOR/FERREIRO;H;0,3200;23,1700;7,4144
I0498;CARPINTEIRO;H;0,7200;23,1700;16,6824
I2391;PEDREIRO;H;2,5300;23,1700;58,6201
I2543;SERVENTE;H;6,3900;17,1400;109,5246
;;;;Total:;211,6167
MATERIAIS;;;;;
I0103;ARAME RECOZIDO N.18 BWG;KG;0,0800;10,0500;0,8040
I0109;AREIA MEDIA;M3;0,0818;67,5000;5,5215
I0157;AÇO CA-25;KG;2,3800;9,5100;22,6338
I0231;BLOCO DE CONCRETO 14x19x39cm - VEDAÇÃO;UN;29,0000;2,5300;73,3700
I0280;BRITA;M3;0,0429;76,1900;3,2686
I0441;CAL HIDRATADA;KG;1,0000;1,1000;1,1000
I0805;CIMENTO PORTLAND;KG;38,0000;0,5600;21,2800
I1605;PEDRISCO;M3;0,0184;73,9000;1,3598
I1728;"PREGO 18X27 (2.1/2"" X 10) (APROXIMADAMENTE 198UN/KG)";KG;0,0800;13,8000;1,1040
I1916;"TABUA DE 1"" DE 3A. - L = 30cm";M;0,2800;10,0100;2,8028
;;;;Total:;133,2445
;;;Total Simples:;;346,08
;;;Encargos Sociais:;;INCLUSO
;;;Valor BDI:;;0,00
;;;Valor Geral:;;346,08
C1801 - PASTILHA DE VIDRO (MOSAICO VIDROSO) 2X2CM C/ARGAMASSA MISTA CIMENTO,CAL E AREIA  TRAÇO 1:1:6  INCLUSIVE. LIMPEZA - M2;;;;;
MAO DE OBRA;;Unidade;Coeficiente;Preço;Total
I1599;PASTILHEIRO;H;1,5000;23,1700;34,7550
I2543;SERVENTE;H;2,2000;17,1400;37,7080
;;;;Total:;72,4630
MATERIAIS;;;;;
