;;;TABELA UNIFICADA SEINFRA;;;"Data de Emissão:
23/03/2021 08:58";
;;;;;;;
;;;;;;Página: 1;
;;;Versão: 027 - ENC. SOCIAIS 112,76%;;;;
;;;;;;;
ITEM;CÓDIGO;DESCRIÇÃO;;;UNIDADE;;"PREÇO
UNITÁRIO"
1;SERVICOS PRELIMINARES;;;;;;104.943,74
1.1;SONDAGENS;;;;;;5.127,85
1.1.1;C2820;EXECUÇÃO DE SONDAGEM ELÉTRICA VERTICAL AB/2 ATÉ 150m - SEV;;;UN;;521,32
1.1.2;C2818;EXECUÇÃO DE SONDAGEM ELÉTRICA VERTICAL AB/2 >150m a 500m-SEV;;;UN;;666,87
1.1.3;C2819;EXECUÇÃO DE SONDAGEM ELÉTRICA VERTICAL AB/2 >500m - SEV;;;UN;;855,50
1.1.4;C2833;FOTOGEOLOGIA;;;UN;;376,52
1.1.5;C0053;LEVANTAMENTO BATIMÉTRICO;;;M2;;0,44
1.1.6;C2937;RELATÓRIO FINAL DE SONDAGEM;;;UN;;1.129,56
1.1.7;C0333;SERVIÇOS DE SONDAGEM GEOTÉCNICA MISTA EM ROCHA;;;M;;981,33
1.1.8;C0143;SERVIÇOS DE SONDAGEM GEOTÉCNICA MISTA EM SOLOS;;;M;;235,12
1.1.9;C2290;SONDAGEM  À PERCUSSÃO P/RECONHECIMENTO DO SUBSOLO;;;M;;54,52
1.1.10;C3955;SONDAGEM ROTATIVA P/ RECONHECIMENTO DO SUBSOLO;;;M;;306,67
1.2;CADASTRO;;;;;;253,80
1.2.1;C0580;CADASTRO DE ADUTORA;;;M;;1,52
1.2.2;C0581;CADASTRO DE LIGAÇÃO;;;UN;;2,86
1.2.3;C0582;CADASTRO DE OBRAS LOCALIZADAS;;;M2;;47,90
1.2.4;C0583;CADASTRO DE REDE DE ÁGUA (MEIO MAGNÉTICO);;;M;;1,16
1.2.5;C0584;CADASTRO DE REDE DE ESGOTO/EMISSÁRIO/DRENAGEM (MEIO MAGNÉTICO);;;M;;1,75
1.2.6;C3959;CADASTRO E AVALIAÇÃO DE IMÓVEIS;;;UT;;30,96
1.2.7;C3427;CADASTRO OPERACIONAL DE CLIENTE CAPITAL - PADRÃO;;;IMÓVEL;;11,01
1.2.8;C3428;CADASTRO OPERACIONAL DE CLIENTE INTERIOR - PADRÃO;;;IMÓVEL;;9,69
1.2.9;C4579;CENSO DE CAMPO - CAPITAL;;;IMÓVEL;;8,36
1.2.10;C4580;CENSO DE CAMPO - INTERIOR;;;IMÓVEL;;9,46
1.2.11;C4581;SERVIÇO DE OBTENÇÃO / ATUALIZAÇÃO DE PLANTA EM CAMPO MEIO DIGITAL;;;QUADRA;;75,71
1.2.12;C4582;SERVIÇO DE OBTENÇÃO / ATUALIZAÇÃO DE QUADRAS (OVERLAYS);;;QUADRA;;53,42
1.3;PROJETOS;;;;;;177,43
1.3.1;C3507;ELABORAÇÃO DE PROJETO DE CÁLCULO ESTRUTURAL (RESERVATÓRIO ELEVADO);;;M2xARF;;33,08
;;;;;;;
1.3.2;C3508;ELABORAÇÃO DE PROJETO DE CÁLCULO ESTRUTURAL (RESERVATÓRIO APOIADO, ELEVATÓRIA E  CAIXA DE AREIA);;;M2xARF;;20,51
;;;;;;;
1.3.3;C4617;ELABORAÇÃO DE PROJETOS BÁSICOS DE ENGENHARIA;;;UT;;30,96
1.3.4;C4584;ELABORAÇÃO DE PROJETOS EXECUTIVOS DE ENGENHARIA;;;UT;;30,96
1.3.5;C3956;ELABORAÇÃO DE RELATÓRIO DE ESTUDO DE IMPACTO AMBIENTAL;;;UT;;30,96
1.3.6;C1083;"ELABORAÇÃO DE RELATÓRIO ""AS BUILT""";;;UT;;30,96
1.4;PREPARAÇÃO DO TERRENO;;;;;;417,18
1.4.1;C0927;CORTE DE CAPOEIRA FINA A FOICE;;;M2;;1,33
1.4.2;C4919;LIMPEZA MECANIZADA DE TERRENO COM REMOCAO DE CAMADA VEGETAL, UTILIZANDO TRATOR DE ESTEIRAS;;;M2;;0,20
;;;;;;;
1.4.3;C2102;RASPAGEM E LIMPEZA DO TERRENO;;;M2;;4,29
1.4.4;C2204;RETIRADA DE ÁRVORES;;;UN;;411,36
1.5;CONSTRUÇÃO DO CANTEIRO DA OBRA;;;;;;89.759,78
1.5.1;C0002;ABRIGO PROVISÓRIO C/1 PAVIMENTO P/ALOJAMENTO E DEPÓSITO;;;M2;;892,13
1.5.2;C0003;ABRIGO PROVISÓRIO C/2 PAVIMENTOS P/ALOJAMENTO E DEPÓSITO;;;M2;;712,43
1.5.3;C0043;ALOJAMENTO;;;M2;;278,50
1.5.4;C0369;BARRACÃO ABERTO;;;M2;;124,78
1.5.5;C0370;BARRACÃO PARA ESCRITÓRIO TIPO A1;;;UN;;5.571,03
1.5.6;C0371;BARRACÃO PARA ESCRITÓRIO TIPO A2;;;UN;;9.380,45
1.5.7;C0372;BARRACÃO PARA ESCRITÓRIO TIPO A3;;;UN;;14.914,59
1.5.8;C0373;BARRACÃO PARA ESCRITÓRIO TIPO A4;;;UN;;20.415,70
1.5.9;C0374;BARRACÃO PARA ESCRITÓRIO TIPO A5;;;UN;;28.068,37
1.5.10;C4991;DESMOBILIZAÇÃO DE EQUIPAMENTOS EM CAMINHÃO EQUIPADO COM GUINDASTE;;;KM;;2,39
;;;;;;;
1.5.11;C4993;DESMOBILIZAÇÃO DE EQUIPAMENTOS EM CAVALO MECÂNICO C/ PRANCHA DE 3 EIXOS;;;KM;;3,69
;;;;;;;
1.5.12;C2831;FOSSA SUMIDOURO PARA BARRACÃO;;;UN;;2.481,96
1.5.13;C2851;INSTALAÇÕES PROVISÓRIAS DE ÁGUA;;;UN;;1.036,79
1.5.14;C2849;INSTALAÇÕES PROVISÓRIAS DE ESGOTO;;;UN;;206,00
1.5.15;C2850;INSTALAÇÕES PROVISÓRIAS DE LUZ , FORÇA,TELEFONE E LÓGICA;;;UN;;1.308,20
1.5.16;C1622;LIGAÇÃO PROVISÓRIA DE ÁGUA E SANITÁRIO;;;UN;;2.864,38
1.5.17;C4990;MOBILIZAÇÃO DE EQUIPAMENTOS EM CAMINHÃO EQUIPADO COM GUINDASTE;;;KM;;2,39
1.5.18;C4992;MOBILIZAÇÃO DE EQUIPAMENTOS EM CAVALO MECÂNICO C/ PRANCHA DE 3 EIXOS;;;KM;;3,69
;;;;;;;
1.5.19;C4541;PLACA PADRÃO DE OBRA, TIPO BANNER;;;M2;;368,35
1.5.20;C1937;PLACAS PADRÃO DE OBRA;;;M2;;154,65
1.5.21;C2936;REFEITÓRIOS;;;M2;;300,88
1.5.22;C2946;SANITÁRIOS E CHUVEIROS;;;M2;;223,11
1.5.23;C2316;TAPUME DE CHAPA DE MADEIRA COMPENSADA E= 6mm C/ABERTURA E PORTÃO;;;M2;;94,84
;;;;;;;
1.5.24;C3974;TAPUME DE ESTRUTURA DE MADEIRA C/ FECHAMENTO EM CHAPA DE AÇO GALVANIZADO DE 0,3 mm e ALTURA DE 2 M;;;M2;;158,72
;;;;;;;
1.5.25;C2317;TAPUME DE TÁBUAS DE 3.ª C/ABERTURA E PORTÃO;;;M2;;104,09
1.5.26;C2318;TAPUME DE TÁBUAS DE 3.ª SOBREPOSTAS;;;M2;;87,67
1.6;ALUGUEL DE CONTAINER;;;;;;3.404,48
1.6.1;C4994;LOCAÇÃO DE CONTÊINER ALMOXARIFADO COM PISO NAVAL - 6,00M X 2,35M;;;MÊS;;627,53
1.6.2;C4995;LOCAÇÃO DE CONTÊINER BANHEIRO COM 02 VASOS SANITÁRIOS, 01 LAVATÓRIO E 04 CHUVEIROS - 6,00 X 2,35M;;;MÊS;;912,26
;;;;;;;
1.6.3;C4996;LOCAÇÃO DE CONTÊINER BANHEIRO COM 04 VASOS SANITÁRIOS, 02 LAVATÓRIOS, 01 MICTÓRIO CALHA E 04 CHUVEIROS - 6,00 X 2,35M;;;MÊS;;1.004,06
;;;;;;;
1.6.4;C4997;LOCAÇÃO DE CONTÊINER ESCRITÓRIO COM BANHEIRO (01 VASO SANITÁRIO, 01 LAVATÓRIO E 01 CHUVEIRO), JANELA EM VIDRO, PORTAS, LUMINÁRIAS, TOMADAS, FORRO EM PVC, AR CONDICIONADO E ISOLAMENTO TERMO-ACÚSTICO EM ISOPOR - 6,00 X 2,35M;;;MÊS;;860,63
;;;;;;;
1.7;LOCAÇÃO DA OBRA;;;;;;536,94
1.7.1;C1630;LOCAÇÃO DA OBRA - EXECUÇÃO DE GABARITO;;;M2;;6,60
1.7.2;C2872;LOCAÇÃO DA OBRA COM AUXÍLIO TOPOGRÁFICO (ÁREA >5000 M2);;;HA;;520,50
1.7.3;C2873;LOCAÇÃO DA OBRA COM AUXÍLIO TOPOGRÁFICO (ÁREA ATÉ 5000 M2);;;M2;;0,28
1.7.4;C2874;LOCAÇÃO DE REDE DE ÁGUA;;;M;;0,26
1.7.5;C0774;LOCAÇÃO DE OBRAS EM MAR;;;M2;;0,44
1.7.6;C0775;LOCAÇÃO DE JAZIDAS EM MAR;;;M2;;0,51
1.7.7;C2875;LOCAÇÃO E NIVELAMENTO DE ADUTORA;;;M;;1,68
1.7.8;C2876;LOCAÇÃO E NIVELAMENTO DE REDE DE ESGOTO/EMISSÁRIO/DRENAGEM;;;M;;2,29
1.7.9;C3528;MUTIRÃO MISTO - LOCAÇÃO DA OBRA - EXECUÇÃO DE GABARITO;;;M2;;4,38
1.8;DEMOLIÇÕES E RETIRADAS;;;;;;4.834,76
1.8.1;C2992;DEMOLIÇÃO DE ALVENARIA DE PEDRA COM REMOÇÃO LATERAL;;;M3;;173,32
