,Código pai,Código,Descrição,Unidade,Coeficiente,Preço,Total
2,C1802,C1802,"BOMBA CENTRÍFUGA DE 1/4 CV, INCLUSIVE MAT.DE SUCÇÃO", UN,,,
3,C1802,I0043,AJUDANTE DE ENCANADOR,H,8,18.63,149.04
4,C1802,I2320,ENCANADOR,H,8,22.72,181.76
5,C1802,I0852,BOMBA CENTRIFUGA P=1/4CV,UN,1,358.84,358.84
6,C1803,C1803,"MURETA C/TIJOLO MACIÇO, REBOCADA, INCL. FUNDAÇÕES", M2,,,
7,C1803,I2391,PEDREIRO,H,3.86,23.17,89.4362
8,C1803,I2543,SERVENTE,H,6.32,17.14,108.32480000000001
9,C1803,I0109,AREIA MEDIA,M3,0.1685,67.5,11.373750000000001
10,C1803,I0441,CAL HIDRATADA,KG,17.908,1.1,19.698800000000002
11,C1803,I0805,CIMENTO PORTLAND,KG,31.048,0.56,17.386879999999998
12,C1803,I1600,PEDRA DE MÃO (RACHÃO),M3,0.138,66.06,9.116280000000001
13,C1803,I2082,TIJOLO MACIÇO COMUM,UN,174.9,0.58,101.44200000000001
14,C1804,C1804,"MURO DIVISÓRIO C/BLOCOS DE CONCRETO 14x19x39 CM, H=1.80M, SOBRE SAPATA CORRIDA DE CONCRETO FCK = 13,5 MPa E PILARES DE CONCRETO", M,,,
15,C1804,I0040,AJUDANTE DE ARMADOR/FERREIRO,H,0.42,18.63,7.824599999999999
16,C1804,I0121,ARMADOR/FERREIRO,H,0.42,23.17,9.731399999999999
17,C1804,I2391,PEDREIRO,H,1.37,23.17,31.742900000000002
18,C1804,I2543,SERVENTE,H,2.4,17.14,41.135999999999996
19,C1804,I0103,ARAME RECOZIDO N.18 BWG,KG,0.11,10.05,1.1055
20,C1804,I0109,AREIA MEDIA,M3,0.088,67.5,5.9399999999999995
21,C1804,I0163,AÇO CA-50,KG,6,9.5,57
22,C1804,I0231,BLOCO DE CONCRETO 14x19x39cm - VEDAÇÃO,UN,24,2.53,60.72
23,C1804,I0280,BRITA,M3,0.038,76.19,2.89522
24,C1804,I0441,CAL HIDRATADA,KG,4,1.1,4.4
25,C1804,I0805,CIMENTO PORTLAND,KG,36,0.56,20.16
26,C1804,I1605,PEDRISCO,M3,0.0163,73.9,1.20457
27,C1804,I1916,"TABUA DE 1"" DE 3A. - L = 30cm",M,1.34,10.01,13.413400000000001
28,C1805,C1805,"MURO DIVISÓRIO C/ BLOCOS DE CONCRETO 14x19x39 CM, H=1,80 M, SOBRE SAPATA CORRIDA, C/ PILARETES E CINTA DE AMARRAÇÃO DE CONCRETO C/ PINGADEIRAS", M,,,
29,C1805,I0682,BETONEIRA ELÉTRICA 580L (CHP),H,0.0498,24.420759936,1.2161538448128
30,C1805,I0041,AJUDANTE DE CARPINTEIRO,H,1.04,18.63,19.3752
31,C1805,I0121,ARMADOR/FERREIRO,H,0.32,23.17,7.4144000000000005
32,C1805,I0498,CARPINTEIRO,H,0.72,23.17,16.682399999999998
33,C1805,I2391,PEDREIRO,H,2.53,23.17,58.620099999999994
34,C1805,I2543,SERVENTE,H,6.39,17.14,109.52459999999999
35,C1805,I0103,ARAME RECOZIDO N.18 BWG,KG,0.08,10.05,0.804
36,C1805,I0109,AREIA MEDIA,M3,0.0818,67.5,5.5215
37,C1805,I0157,AÇO CA-25,KG,2.38,9.51,22.633799999999997
38,C1805,I0231,BLOCO DE CONCRETO 14x19x39cm - VEDAÇÃO,UN,29,2.53,73.37
39,C1805,I0280,BRITA,M3,0.0429,76.19,3.268551
40,C1805,I0441,CAL HIDRATADA,KG,1,1.1,1.1
41,C1805,I0805,CIMENTO PORTLAND,KG,38,0.56,21.28
42,C1805,I1605,PEDRISCO,M3,0.0184,73.9,1.35976
43,C1805,I1728,"PREGO 18X27 (2.1/2"" X 10) (APROXIMADAMENTE 198UN/KG)",KG,0.08,13.8,1.104
44,C1805,I1916,"TABUA DE 1"" DE 3A. - L = 30cm",M,0.28,10.01,2.8028000000000004
45,C1801,C1801,"PASTILHA DE VIDRO (MOSAICO VIDROSO) 2X2CM C/ARGAMASSA MISTA CIMENTO,CAL E AREIA  TRAÇO 1:1:6  INCLUSIVE. LIMPEZA", M2,,,
46,C1801,I1599,PASTILHEIRO,H,1.5,23.17,34.755
47,C1801,I2543,SERVENTE,H,2.2,17.14,37.708000000000006
48,C1801,I0109,AREIA MEDIA,M3,0.0243,67.5,1.64025
49,C1801,I0154,ÁCIDO MURIÁTICO,L,0.1,5.44,0.544
50,C1801,I0441,CAL HIDRATADA,KG,2.44,1.1,2.684
51,C1801,I0805,CIMENTO PORTLAND,KG,6.06,0.56,3.3935999999999997
52,C1801,I1531,PASTILHA DE VIDRO (MOSAICO VIDROSO) 2X2CM,M2,1.1,293.71,323.081
53,C1801,I1871,SODA CAUSTICA,KG,0.1,12.56,1.256
54,C1807,C1807,"MURO CONTORNO DE ALVENARIA E CONCRETO (PILAR+CINTA) REBOCADO, COM PINTURA", M2,,,
55,C1807,I0682,BETONEIRA ELÉTRICA 580L (CHP),H,0.03,24.420759936,0.73262279808
56,C1807,I0040,AJUDANTE DE ARMADOR/FERREIRO,H,0.15,18.63,2.7944999999999998
57,C1807,I0045,AJUDANTE DE PINTOR,H,0.22,18.63,4.0986
58,C1807,I0121,ARMADOR/FERREIRO,H,0.15,23.17,3.4755
59,C1807,I2391,PEDREIRO,H,3.2,23.17,74.144
60,C1807,I2395,PINTOR,H,0.75,23.17,17.3775
61,C1807,I2543,SERVENTE,H,5.2,17.14,89.128
62,C1807,I0103,ARAME RECOZIDO N.18 BWG,KG,0.04,10.05,0.402
63,C1807,I0108,AREIA GROSSA,M3,0.08,74.72,5.9776
64,C1807,I0109,AREIA MEDIA,M3,0.085,67.5,5.737500000000001
65,C1807,I0163,AÇO CA-50,KG,2.18,9.5,20.71
66,C1807,I0280,BRITA,M3,0.03,76.19,2.2857
67,C1807,I0805,CIMENTO PORTLAND,KG,45,0.56,25.2
68,C1807,I1600,PEDRA DE MÃO (RACHÃO),M3,0.15,66.06,9.908999999999999
69,C1807,I1605,PEDRISCO,M3,0.01,73.9,0.739
70,C1807,I1917,"TABUA DE 1"" - L = 12cm",M,0.45,5.76,2.592
71,C1807,I2081,TIJOLO CERÂMICO FURADO  9X19X19CM,UN,25,0.68,17
72,C1807,I2082,TIJOLO MACIÇO COMUM,UN,18,0.58,10.44
73,C1807,I2098,TINTA MINERAL IMPERMEÁVEL EM PÓ,KG,0.87,3.15,2.7405
74,C1806,C1806,MURO C/MOURÕES E PLACAS PRÉ-FABRICADAS DE CONCRETO H=2.00M,FABRICADAS DE CONCRETO H=2.00M ,,,
75,C1806,I2391,PEDREIRO,H,0.8,23.17,18.536
76,C1806,I2543,SERVENTE,H,1.6,17.14,27.424000000000003
77,C1806,I0109,AREIA MEDIA,M3,0.0388,67.5,2.619
78,C1806,I0280,BRITA,M3,0.0455,76.19,3.4666449999999998
79,C1806,I0805,CIMENTO PORTLAND,KG,13,0.56,7.28
80,C1806,I1534,MOURÃO CONCRETO COM ENCAIXE 12X12X260CM,UN,0.5,42.88,21.44
81,C1806,I1671,PLACA PRÉ-FABRICADA DE CONCRETO PARA MURO 200X50X3.5CM,UN,2,79.05,158.1
82,C1809,C1809,"MURO DE ARRIMO C/ BLOCOS DE CONCRETO ARTICULADO (60X45X15)cm  C/INJEÇÃO ATÉ 2,5m", M2,,,
83,C1809,I2391,PEDREIRO,H,3,23.17,69.51
84,C1809,I2543,SERVENTE,H,10,17.14,171.4
85,C1809,I0109,AREIA MEDIA,M3,0.12,67.5,8.1
86,C1809,I0157,AÇO CA-25,KG,0.46,9.51,4.3746
87,C1809,I0163,AÇO CA-50,KG,9.24,9.5,87.78
88,C1809,I0236,BLOCO DE CONCRETO ARTICULADO 15X45X60CM,UN,5,16.79,83.95
89,C1809,I0280,BRITA,M3,0.23,76.19,17.5237
90,C1809,I0805,CIMENTO PORTLAND,KG,55,0.56,30.8
91,C1808,C1808,MURO DE ARRIMO C/ BLOCOS DE CONCRETO ARTICULADO (30X15X28)cm, M2,,,
92,C1808,I2391,PEDREIRO,H,2,23.17,46.34
93,C1808,I2543,SERVENTE,H,7,17.14,119.98
94,C1808,I0109,AREIA MEDIA,M3,0.04,67.5,2.7
