Código,Descrição,Unidade,Preço unitário
C2820,EXECUÇÃO DE SONDAGEM ELÉTRICA VERTICAL AB/2 ATÉ 150m - SEV,UN,521.32
C2818,EXECUÇÃO DE SONDAGEM ELÉTRICA VERTICAL AB/2 >150m a 500m-SEV,UN,666.87
C2819,EXECUÇÃO DE SONDAGEM ELÉTRICA VERTICAL AB/2 >500m - SEV,UN,855.5
C2833,FOTOGEOLOGIA,UN,376.52
C0053,LEVANTAMENTO BATIMÉTRICO,M2,0.44
C2937,RELATÓRIO FINAL DE SONDAGEM,UN,1129.56
C0333,SERVIÇOS DE SONDAGEM GEOTÉCNICA MISTA EM ROCHA,M,981.33
C0143,SERVIÇOS DE SONDAGEM GEOTÉCNICA MISTA EM SOLOS,M,235.12
C2290,SONDAGEM  À PERCUSSÃO P/RECONHECIMENTO DO SUBSOLO,M,54.52
C3955,SONDAGEM ROTATIVA P/ RECONHECIMENTO DO SUBSOLO,M,306.67
C0580,CADASTRO DE ADUTORA,M,1.52
C0581,CADASTRO DE LIGAÇÃO,UN,2.86
C0582,CADASTRO DE OBRAS LOCALIZADAS,M2,47.9
C0583,CADASTRO DE REDE DE ÁGUA (MEIO MAGNÉTICO),M,1.16
C0584,CADASTRO DE REDE DE ESGOTO/EMISSÁRIO/DRENAGEM (MEIO MAGNÉTICO),M,1.75
C3959,CADASTRO E AVALIAÇÃO DE IMÓVEIS,UT,30.96
C3427,CADASTRO OPERACIONAL DE CLIENTE CAPITAL - PADRÃO,IMÓVEL,11.01
C3428,CADASTRO OPERACIONAL DE CLIENTE INTERIOR - PADRÃO,IMÓVEL,9.69
C4579,CENSO DE CAMPO - CAPITAL,IMÓVEL,8.36
C4580,CENSO DE CAMPO - INTERIOR,IMÓVEL,9.46
C4581,SERVIÇO DE OBTENÇÃO / ATUALIZAÇÃO DE PLANTA EM CAMPO MEIO DIGITAL,QUADRA,75.71
C4582,SERVIÇO DE OBTENÇÃO / ATUALIZAÇÃO DE QUADRAS (OVERLAYS),QUADRA,53.42
C3507,ELABORAÇÃO DE PROJETO DE CÁLCULO ESTRUTURAL (RESERVATÓRIO ELEVADO),M2xARF,33.08
C3508,"ELABORAÇÃO DE PROJETO DE CÁLCULO ESTRUTURAL (RESERVATÓRIO APOIADO, ELEVATÓRIA E  CAIXA DE AREIA)",M2xARF,20.51
C4617,ELABORAÇÃO DE PROJETOS BÁSICOS DE ENGENHARIA,UT,30.96
C4584,ELABORAÇÃO DE PROJETOS EXECUTIVOS DE ENGENHARIA,UT,30.96
C3956,ELABORAÇÃO DE RELATÓRIO DE ESTUDO DE IMPACTO AMBIENTAL,UT,30.96
C1083,"ELABORAÇÃO DE RELATÓRIO ""AS BUILT""",UT,30.96
C0927,CORTE DE CAPOEIRA FINA A FOICE,M2,1.33
C4919,"LIMPEZA MECANIZADA DE TERRENO COM REMOCAO DE CAMADA VEGETAL, UTILIZANDO TRATOR DE ESTEIRAS",M2,0.2
C2102,RASPAGEM E LIMPEZA DO TERRENO,M2,4.29
C2204,RETIRADA DE ÁRVORES,UN,411.36
C0002,ABRIGO PROVISÓRIO C/1 PAVIMENTO P/ALOJAMENTO E DEPÓSITO,M2,892.13
C0003,ABRIGO PROVISÓRIO C/2 PAVIMENTOS P/ALOJAMENTO E DEPÓSITO,M2,712.43
C0043,ALOJAMENTO,M2,278.5
C0369,BARRACÃO ABERTO,M2,124.78
C0370,BARRACÃO PARA ESCRITÓRIO TIPO A1,UN,5571.03
C0371,BARRACÃO PARA ESCRITÓRIO TIPO A2,UN,9380.45
C0372,BARRACÃO PARA ESCRITÓRIO TIPO A3,UN,14914.59
C0373,BARRACÃO PARA ESCRITÓRIO TIPO A4,UN,20415.7
C0374,BARRACÃO PARA ESCRITÓRIO TIPO A5,UN,28068.37
C4991,DESMOBILIZAÇÃO DE EQUIPAMENTOS EM CAMINHÃO EQUIPADO COM GUINDASTE,KM,2.39
C4993,DESMOBILIZAÇÃO DE EQUIPAMENTOS EM CAVALO MECÂNICO C/ PRANCHA DE 3 EIXOS,KM,3.69
C2831,FOSSA SUMIDOURO PARA BARRACÃO,UN,2481.96
C2851,INSTALAÇÕES PROVISÓRIAS DE ÁGUA,UN,1036.79
C2849,INSTALAÇÕES PROVISÓRIAS DE ESGOTO,UN,206
C2850,"INSTALAÇÕES PROVISÓRIAS DE LUZ , FORÇA,TELEFONE E LÓGICA",UN,1308.2
C1622,LIGAÇÃO PROVISÓRIA DE ÁGUA E SANITÁRIO,UN,2864.38
C4990,MOBILIZAÇÃO DE EQUIPAMENTOS EM CAMINHÃO EQUIPADO COM GUINDASTE,KM,2.39
C4992,MOBILIZAÇÃO DE EQUIPAMENTOS EM CAVALO MECÂNICO C/ PRANCHA DE 3 EIXOS,KM,3.69
C4541,"PLACA PADRÃO DE OBRA, TIPO BANNER",M2,368.35
C1937,PLACAS PADRÃO DE OBRA,M2,154.65
C2936,REFEITÓRIOS,M2,300.88
C2946,SANITÁRIOS E CHUVEIROS,M2,223.11
